younger	negative	[2, 5, 2, 1, 2, 1, 0, 0]
younger	control	[1, 3, 4, 1, 8, 2, 1, 0]
younger	positive	[2, 5, 0, 3, 4, 3, 1, 1]
older	negative	[3, 1, 0, 0, 4, 2, 1, 7]
older	control	[6, 5, 0, 2, 1, 1, 1, 1]
older	positive	[4, 3, 2, 2, 2, 0, 2, 0]

younger	negative	Counter({'anger': 11, 'pride': 1, 'disgust': 1})
younger	control	Counter({'joy': 12, 'admiration': 4, 'fear': 3, 'fatigue': 1})
younger	positive	Counter({'joy': 13, 'pride': 3, 'admiration': 2, 'interest': 1})
older	negative	Counter({'anger': 9, 'disgust': 5, 'pride': 2, 'admiration': 1, 'boredom': 1})
older	control	Counter({'interest': 7, 'boredom': 5, 'admiration': 1, 'joy': 1, 'pride': 1, 'anger': 1, 'fear': 1})
older	positive	Counter({'joy': 7, 'admiration': 4, 'interest': 2, 'fear': 1, 'pride': 1})
